BOOK_NAME,BOOK_COMPANY,BOOK_INTRO,BOOK_RENT,BOOK_AUTHOR,BOOK_RELEASE,BOOK_IMAGE
시선으로부터,문학동네,"""살아남은 모든 여성에게 존경과 사랑을"" 한 가족이 그들의 어머니이자
할머니인 심시선의 십 주기 제사를 지내기 위해 하와이로 떠난다.
늘 소문과 논쟁, 분쟁에 휩싸여 사셨던 등을 돌리고 선 화가이자 작가.
우리는 존재한 적이 없는 이 사람, 심시선을 기억해야 한다.",n,정세랑,21-Apr,https://www.gimpo.go.kr/DATA/bbs/315/a009e264-0e7a-424f-90c6-555610219dcb.jpg
"오, 사랑",사계절,"사랑이라는 뜨겁고도 순수한 감정을 잘 표현한 작품이자,
자신을 긍정적으로 받아들이고 자기 자신을 사랑하는 방법을
찾아 나가는 두 소녀의 성장이야기",n,조우리,21-Apr,https://www.gimpo.go.kr/DATA/bbs/315/99f1ca0a-9c14-4056-b478-b7f4ad1ba6c9.jpg
죽은 자의 집 청소,김영사,"""누군가 홀로 죽으면 나의 일이 시작된다.""
죽음 언저리에서 행하는 특별한 서비스에 대하여
수많은 언론이 집중 조명한 어느 특수청소부의 에세이",n,김완,21-Apr,https://www.gimpo.go.kr/DATA/bbs/315/9b520a6c-e14a-48e0-b470-7439ff54e39d.jpg
달러구트 꿈 백화점,팩토리나인,"잠들어야만 입장할 수 있는 독특한 마을.
그 곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은
온갖 꿈을 한데 모아 판매하는 '달러구트 꿈 백화점'",n,이미예,21-Apr,https://www.gimpo.go.kr/DATA/bbs/315/535a71d9-58c5-4bc1-8107-3f6acd064629.jpg
우리가 버린 독립운동가들,개마고원,"잊어버려서 미안합니다,,,,,,.
공훈록이나 역사책 한 구석에만 그 존재가 희미하게 남겨져 있을 뿐,
대중의 기억 속에선 아예 잊혀져 있던 20인의 독립운동가를 재조명한다.",n,손성진,2020.08.,https://www.gimpo.go.kr/DATA/bbs/315/abd56787-c77a-45d3-8b58-f2e8d026950c.jpg
위로해주려는데 왜 자꾸 웃음이 나올까,다산초당,"양심껏 꽁꽁 숨겨왔던
내 안의 나쁜 마음을 응시하다!
고소하고 즐겁지만 겉으로 드러내긴 어려운 내 안의 나쁜 마음
샤덴프로이데에 어떻게 현명하게 대처해야 하는지를 알려주는 책",n,티파니 와트 스미스,2020.07.,https://www.gimpo.go.kr/DATA/bbs/315/0869ff63-36d5-4785-8ad2-932869183db3.jpg
뉴노멀의 철학,동아시아,"어떤 변화는 일시적이지만, 어떤 변화는 돌이킬 수 없다
근대적 가치에서 벗어나 새로운 질서를 상상하라!
저자는 이 책에서 근대의 정체를 밝힌다.
근대가 성립했던 구체적인 상황과 맥락을 살펴보고
그 가운데서 어떤 사상적 결실이 맺어졌는지 소개한다.",n,김재인,2020.07.,https://www.gimpo.go.kr/DATA/bbs/315/610e6a40-6898-46f5-a30c-27d9a1e3810f.jpg
노화의 종말,부키,"노화와 유전 분야 세계 최고 권위자 데이비드 싱클레어 박사가
25년 장수 연구를 집대성해 최초로 공개하는 역작!
세계 각지의 연구자와 연구실에서 이루어져 온 주요 최신 성과를
총망라한 책으로 수명과 장수, 인간과 생명의 패러다임까지
뒤집는 충격적인 사실과 비밀을 담고 있다.",n,데이비드 A. 싱클레어,2020.07.,https://www.gimpo.go.kr/DATA/bbs/315/07843e75-e38a-4229-943a-b243fc17473d.jpg
짧고 굵게 일합니다,리더스북,"“지금 당신의 일에는 ‘정리’가 필요합니다”
과부하 걸린 직장인을 위한 쉽고 빠른 심폐소생술,
일의 결과를 바꾸는 7가지 정리 습관.",n,곤도 마리에,2020.08.,https://www.gimpo.go.kr/DATA/bbs/315/bbd02f23-5ec0-4ff7-9aa3-1803eb83f37e.jpg
두 사람의 역사,북캠퍼스,"사람들은 누구나 타인과의 만남을 통해 삶을 살아간다. 어떤 만남은 누군가의 인생에, 더 나아가서는 역사적으로 큰 변화를 일으키기도 한다. 독일 작가인 헬게 헤세는 이러한 ‘만남’에 주목하였다. 철학, 예술, 정치 등 다양한 분야에서 활약했던 15쌍의 인물들이 친구나 연인, 동반자 혹은 경쟁자로서 서로를 만나게 되면서 어떤 삶을 살게 되었는지, 그들의 만남이 역사적으로 어떤 의미를 갖고 있는지 이야기한다. 역사 속 인물들의 삶과 시대의 흐름에 대한 다양한 이야기들을 책 속에서 만나보고, 현재 우리의 삶에 있어 ‘만남’이 갖는 의미에 대해서도 다시 한 번 생각해보자.

 ",n,헬게 헤세,201906,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201906121113543090.bmp
참모로 산다는 것,매일경제신문사," 

이 책은 신병주 교수의 저서 《 왕으로 산다는 것 》 의 후속편으로 조선 건국부터 518 년을 존속한 조선의 역사에서 제도와 문물 정비, 국가 위기, 치열한 당파 싸움까지 왕 못지않게 중요한 역할을 담당했던 조선의 참모들이 어떤 역할을 해 왔는지를 다룬다. 조선 왕조는 대대로 왕이 국정 운영을 할 때 참모를 곁에 두면서 왕권과 신권의 균형을 이루고자 했다. 게다가 발탁된 참모는 당대의 성패를 좌우하는 요인이 될 정도였다. 전반적인 조선 역사에 관심이 있고 당대 큰 획을 그은 참모들의 역할과 덕목이 궁금하다면 이 책이 좋은 길잡이가 되어 줄 것이다.

 ",n,신병주,201906,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201906121112260840.bmp
당신이 남긴 증오,걷는나무,"열여섯의 흑인 소녀 ‘스타’는 갱단과 마약밀매상이 많기로 유명한 동네 가든 하이츠에서 자랐지만 한 시간 거리의 사립학교에 다닌다. 평범한 고등학생이지만 절친한 친구 ‘칼릴’의 죽음을 눈앞에서 목격하게 된다. 칼릴은 가든 하이츠에 산다는 이유만으로 마약과 총기 누명을 쓰고 경찰의 공격을 받는다. 스타는 이 사건을 계기로 정체성을 깨닫는다. 현실과 맞서 싸울지 고민하던 주인공은 자신을 진심으로 사랑해주는 가족과 이웃의 응원으로 유일한 목격자이자, 칼릴의 친구로서 용기를 내서 사람들 앞에 선다. 미국사회에서 불법적인 일을 하면서 살아갈 수밖에 없는 이들과 스타와 그의 가족들을 통해 차별이라는 주제를 있는 그대로 묘사하며 진정성 있는 이야기를 담아냈다.

 ",n,앤지 토머스,201906,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201906121111405510.bmp
그래도 우리의 나날,문학동네,"젊은 청춘에겐 자신의 가치와 이상과 목적, 그리고 꿈이 있다. 그런데 이를 갑자기 부정당하거나 잃게 되었다면 어떨까? 후미오는 우연히 산 중고서적 ‘H 전집’ 의 전 주인이자 약혼자인 세쓰코의 동문인 사노의 죽음에 의문을 품고 그의 과거를 파헤친다. 운동권 학생이었던 사노는 경찰에게 포위된 극단적인 상황에서 두려움으로 인한 도피, 조직의 해체 등으로 가치와 이상을 잃고 패배의식에 사로 잡힌다. 이상과 현실의 괴리로 인한 혼란과 계속되는 무기력함으로 결국 사노는 건너선 안 되는 강을 건넌다. 어느 시대나 그 시절을 살아가는 사람들의 삶은 녹록하지 않다.

 ",n,시바타 쇼,201906,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201906121110387590.bmp
화가는 무엇으로 그리는가,모요사,"이 책은 시대 흐름에 따른 미술 작품의 변화를 작품에 사용된 도구와 재료로 해석하고 이것을 선택한 화가의 이야기와 함께 들려준다. 저자는 옛 화가들이 지금의 얼리어답터였으며 거침없는 실험가였다고 말한다. 산업화로 금속 재질의 튜브물감이 발명된 덕분에 인상주의 화가들은 실외에서 그림을 그릴 수 있게 됐고, 인공안료의 개발로 고흐는 강렬한 태양과 해바라기를 이글거리는 노란빛으로 마음껏 표현할 수 있었다. 이 책은 색의 재료와 미술 도구들이 어떻게 화가에게 도달했는지 작품이 만들어진 과정에 중점을 두고 있어 색다른 관점으로 미술 변천사를 알아보는 시간을 제공할 것이다.

 ",n,이소영,201906,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201906121108194480.bmp
다큐멘터리 일제시대,휴머니스트,"오랫동안 학생들에게 근 현대사를 가르치면서 일제시대가 지나치게 항일

과 친일의 역사로만 기억되는 데 아쉬움을 느꼈던 저자는 당대의 신문

과 잡지, 역사서를 바탕으로 독립운동가들의 항일 독립운동, 친일인사들

의 행태와 더불어 보통 사람들의 일상을 입체적으로 복원함으로써, 조선

왕조와 대한민국 사이 공백의 시대이자 역사 속에 홀로 떠 있는 외로운

섬이었던 일제시대를 재조명한다.



§911.06-이883다",n,이태영,201903,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201902270537552810.jpg
딸이 전하는 아버지의 역사,논형,"식민지 조선의 청년들이 일본 땅에서 겪었던 ‘해방 당일’과 ‘해방

직후’의 일상이 어떠했는지를 구체적으로 보여준다. 조국이나 고향은 돌

아가야 할 곳이었지만 돌아갈 수 없었던 사람들이 있었다. 전후에 조선인

들이 일본에 얕은 뿌리를 내리고 살아가게 된 동기는 그들 각각이 조우

했던 전후의 상황이 보여준 다채로운 결만큼이나 다양하다는 것을 이흥섭

의 경험을 통해 이해할 수 있다.



 §911.06-이97따번

 ",n,이흥섭,201903,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201902270536496090.jpg
삼천리 앙케트,만복당,"이 책은 1929년 6월에 창간된 후 14년 동안 폭발적인 인기를 얻은 일

제강점기 대중잡지 《삼천리》에 실린 설문조사와 대담을 선별해 엮은

책이다. 식민지 조선을 살아가던 각계각층 명사의 자유롭고 생생한 답변

을 통해 1930년대의 라이프스타일과 문화를 접할 수 있다. 독자들이 편

안하게 접할 수 있도록 편집부 주석을 달았다.



 §337.1-만45사",n,만복당,201903,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201902270534198730.jpg
우리말의 탄생,책과함께,"우리말 사전(조선말 큰사전)이 만들어지기까지 50년 동안의 길고 험난했

던 전 과정을 집중 조명한 『우리말의 탄생』. 일제강점기부터 해방 직

후에 이르기까지 민족사의 격동기에 오로지 우리말 사전 편찬 하나에 온

인생을 걸었던 사람들의 좌절과 고통, 그리고 완성의 기쁨을 담은 책이

다.



§713.09-최14우",n,최경봉,201903,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201902270533117840.jpg
중국에서 만나는 한국 독립운동사,섬앤섬,"일본 제국주의에 맞서 싸우고 지금의 중화인민공화국을 건설하는 데 우

리 조상들이 피로써 함께 하였듯이 중국은 그 기간 한국의 독립을 적극

지지하고 후원했다. 이 책은 중국 전역에 걸친 그러한 한국 독립운동 유

적지를 일일이 찾아보면서 우리가 잊고 있었던 어제의 역사와 저자가 직

접 느낀 감상이 잘 드러나 있는 여행기이자 답사기이다.



§911.063-윤883주

 ",n,윤태옥,201903,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201902270531210650.jpg
리치파머,한국경제신문," 젊은 청년들이 점점 더 서울 , 수도권으로 몰리고 있다. 이러다 지방의 일부 농촌들은 소멸해 버리는 게 아닐까 하는 우려의 목소리가 들릴 정도다. 이런 와중에 용기 있게 귀농하여 부자 농부가 된 젊은 사람들이 있다. 바로 이 책에서 소개하는 35 인의 리치 파머들이다.



§325.21 김83리",n,김철수,201902,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201901250514056890.jpg
초 협력사회,생각의힘," 저자는 문화진화론적 분석을 통해 협력하는 인간의 능력은 집단 간에 일어나는 경쟁과 갈등, 즉 전쟁을 통해 발전되었다고 이야기한 다. 슘페터의‘창조적 파괴’개념에 빗대어 전쟁을‘파괴적 창조’ 의 과정이라고 설명하며 협력의 진화, 전쟁의 파괴적인 면과 창조적인 면, 평등이 진화해온 과정 등을 보여준다.



§331.54 터86초이",n,피터 터친,201902,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201901250513462130.jpg
방구석 미술관,블랙피쉬," 그 동안 미술에 관심이 있었지만, 작품들을 어떻게 이해해야 할지 몰라 강제로 미술과 멀어졌던 사람들에게 이 책을 추천한다. 2016 년부터 팟 캐스트‘방구석 미술관’을 기획·진행하며 미술 분야 팟 캐스트 1위를 꾸준히 달리고 있는 조원재 작가는<방구석 미술관>을 통해 반 고흐, 클림트, 피카소, 모네 등 미술계 거장들의 비밀을 낱낱이 파헤친다.



§650.4 조66바",n,조원재,201902,https://www.gimpo.go.kr/DATA/bbs/315/monthbook_201901250515066441.jpg
